Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-11-15 11:30:13,20,Architect,75,SVAROG,O,3005,?,Striker
2022-11-15 11:30:13,20,Architect,74,SVAROG,O,2015,??,Jaeger SWAP
2022-11-15 11:30:13,20,Architect,73,SVAROG,O,3002,?,Vespid
2022-11-15 11:30:13,20,Architect,72,SVAROG,O,2003,??,Aegis
2022-11-15 11:30:13,20,Architect,71,SVAROG,O,3001,?,Ripper
2022-11-15 11:30:13,20,Architect,70,SVAROG,O,2001,??,Brute
2022-11-15 11:30:19,20,Architect,69,SVAROG,O,3005,?,Striker
2022-11-15 11:30:19,20,Architect,68,SVAROG,O,3009,?,Jaguar
2022-11-15 11:30:19,20,Architect,67,SVAROG,O,3008,?,Prowler
2022-11-15 11:30:19,20,Architect,66,SVAROG,O,3002,?,Vespid
2022-11-15 11:30:19,20,Architect,65,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:30:19,20,Architect,64,SVAROG,O,3003,?,Guard
2022-11-15 11:30:19,20,Architect,63,SVAROG,O,2006,??,Manticore
2022-11-15 11:30:19,20,Architect,62,SVAROG,O,3006,?,Dinergate
2022-11-15 11:30:19,20,Architect,61,SVAROG,O,3001,?,Ripper
2022-11-15 11:30:19,20,Architect,60,SVAROG,O,3001,?,Ripper
2022-11-15 11:30:23,20,Architect,59,SVAROG,O,2006,??,Manticore
2022-11-15 11:30:23,20,Architect,58,SVAROG,O,3005,?,Striker
2022-11-15 11:30:23,20,Architect,57,SVAROG,O,3009,?,Jaguar
2022-11-15 11:30:23,20,Architect,56,SVAROG,O,2014,??,Aegis_SWAP
2022-11-15 11:30:23,20,Architect,55,SVAROG,O,2004,??,Nemeum
2022-11-15 11:30:23,20,Architect,54,SVAROG,O,3005,?,Striker
2022-11-15 11:30:23,20,Architect,53,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:30:23,20,Architect,52,SVAROG,O,3003,?,Guard
2022-11-15 11:30:23,20,Architect,51,SVAROG,O,2001,??,Brute
2022-11-15 11:30:23,20,Architect,50,SVAROG,O,2004,??,Nemeum
2022-11-15 11:30:28,20,Architect,49,SVAROG,O,3007,?,Scout
2022-11-15 11:30:31,20,Architect,48,SVAROG,O,2002,??,Dragoon
2022-11-15 11:30:33,20,Architect,47,SVAROG,O,3007,?,Scout
2022-11-15 11:30:34,20,Architect,46,SVAROG,O,3002,?,Vespid
2022-11-15 11:30:36,20,Architect,45,SVAROG,O,2014,??,Aegis_SWAP
2022-11-15 11:30:39,20,Architect,44,SVAROG,O,3002,?,Vespid
2022-11-15 11:30:41,20,Architect,43,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:30:42,20,Architect,42,SVAROG,O,3001,?,Ripper
2022-11-15 11:30:44,20,Architect,41,SVAROG,O,3008,?,Prowler
2022-11-15 11:30:46,20,Architect,40,SVAROG,O,3002,?,Vespid
2022-11-15 11:30:48,20,Architect,39,SVAROG,O,2002,??,Dragoon
2022-11-15 11:30:50,20,Architect,38,SVAROG,O,3002,?,Vespid
